"No","Latitude","Longitude","Name","Description","Notes","Symbol","Date","Time"
5904,7.21019,124.24505,"Cotabato City","osm-id 244475001",,"City (Large)",01/28/09,03:43:42 AM
5977,7.09709,125.59927,"Davao City","osm-id 325091453",,"City (Large)",01/29/09,02:42:10 AM
361,15.98091,120.56600,"Urdaneta City","osm-id 30917625",,"City (Large)",01/28/09,03:43:35 AM
308,16.41370,120.59149,"Baguio City","osm-id 317949374",,"City (Large)",01/29/09,01:58:46 AM
2566,13.94011,121.15694,"Lipa","osm-id 273991971",,"City (Large)",01/28/09,03:43:30 AM
2369,14.07828,121.11916,"Tanauan","osm-id 198523357",,"City (Large)",01/28/09,03:43:43 AM
5572,9.78635,125.48580,"Surigao City","osm-id 319858811",,"City (Large)",01/29/09,01:58:44 AM
345,16.04237,120.33529,"Dagupan City","osm-id 317405147",,"City (Large)",01/29/09,01:58:43 AM
419,15.49049,120.59244,"Tarlac City","osm-id 317950271",,"City (Large)",01/29/09,01:58:45 AM
1511,14.62439,120.97871,"Manila","osm-id 198493613",,"City (Large)",01/28/09,03:43:33 AM
82,18.19487,120.59347,"Laoag City","osm-id 317949136",,"City (Large)",01/29/09,01:58:49 AM
616,14.27982,120.86719,"Trece Martires","osm-id 255058930",,"City (Large)",01/29/09,01:54:03 AM
551,14.83147,120.28353,"Olongapo","osm-id 27175814",,"City (Large)",01/29/09,02:42:12 AM
512,15.16063,120.58640,"Angeles City","osm-id 27170104",,"City (Large)",01/28/09,03:43:48 AM
5294,10.30967,123.89440,"Cebu City","osm-id 259009337",,"City (Large)",01/28/09,03:43:47 AM
2880,13.13762,123.73431,"Legaspi","osm-id 25653778",,"City (Large)",01/28/09,03:43:37 AM
2415,14.07458,121.31826,"San Pablo","osm-id 269470262","Population as of 2007","City (Large)",01/29/09,02:42:11 AM
2610,13.92604,121.61419,"Lucena City","osm-id 272327246",,"City (Large)",01/28/09,03:43:41 AM
5288,10.52139,124.02471,"Danao City","osm-id 322743977",,"City (Large)",01/29/09,01:58:49 AM
2786,13.62401,123.18503,"Naga","osm-id 196960203",,"City (Large)",01/28/09,03:43:31 AM
4494,10.71206,122.55948,"Iloilo City","osm-id 279220967",,"City (Large)",01/28/09,03:43:36 AM
5717,8.47895,124.64324,"Cagayan De Oro","osm-id 282310507",,"City (Large)",01/28/09,03:43:49 AM
4500,10.68813,122.96412,"Bacolod City","osm-id 333551664",,"City (Large)",01/29/09,01:58:47 AM
5197,11.00446,124.60751,"Ormoc","osm-id 279167983",,"City (Large)",01/28/09,03:43:29 AM
5542,9.64758,123.85778,"Tagbilaran","osm-id 250652000",,"City (Large)",01/28/09,03:43:45 AM
5846,8.16278,125.17722,"Malaybalay","osm-id 198503889",,"City (Large)",01/28/09,03:43:26 AM
2355,14.11498,120.96356,"Tagaytay","osm-id 283347803",,"City (Large)",01/28/09,03:43:28 AM
4597,9.73760,118.73504,"Puerto Princesa","osm-id 278516701",,"City (Large)",01/28/09,03:43:34 AM
5191,11.24495,125.00369,"Tacloban","osm-id 278507994",,"City (Large)",01/28/09,03:43:38 AM
6103,6.11255,125.17269,"General Santos City","osm-id 333460805",,"City (Large)",01/29/09,01:58:48 AM
2821,13.31667,122.05000,"Torrijos","osm-id 198526991",,"City (Medium)",01/18/08,01:27:21 PM
2607,13.96468,121.52314,"Sariaya","osm-id 198524516",,"City (Medium)",09/28/08,10:05:40 AM
3256,12.38333,123.48333,"Baleno","osm-id 198523828",,"City (Medium)",01/18/08,01:40:04 PM
5326,10.49940,124.73955,"Inopacan","osm-id 198492708",,"City (Medium)",10/10/08,05:28:10 AM
5370,10.11667,124.28333,"Talibon","osm-id 198506615",,"City (Medium)",01/18/08,01:21:05 PM
6024,7.01332,125.09355,"Kidapawan","osm-id 198512957",,"City (Medium)",06/01/08,11:49:33 AM
5339,10.36667,124.93333,"Bontoc","osm-id 198529285",,"City (Medium)",01/18/08,01:31:17 PM
6110,5.78056,125.33361,"Glan","osm-id 198499599",,"City (Medium)",12/12/08,09:42:41 AM
3251,12.46667,123.36667,"Aroroy","osm-id 198492571",,"City (Medium)",01/18/08,12:45:28 PM
426,16.70000,121.06667,"Kiangan","osm-id 198495156",,"City (Medium)",01/18/08,12:46:45 PM
3709,11.96667,124.85000,"San Jorge","osm-id 198495592",,"City (Medium)",01/18/08,12:47:36 PM
5330,10.46667,124.98333,"Sogod","osm-id 198510685",,"City (Medium)",01/18/08,01:33:11 PM
27,18.55000,120.86667,"Pagudpud","osm-id 198518629",,"City (Medium)",01/18/08,01:38:39 PM
5328,10.37160,124.75054,"Hilongos","osm-id 198508409",,"City (Medium)",10/10/08,05:29:23 AM
5741,8.73333,126.11667,"San Agustin","osm-id 198520838",,"City (Medium)",01/18/08,01:41:23 PM
3278,12.01667,123.68333,"Cawayan","osm-id 198525540",,"City (Medium)",01/18/08,01:29:09 PM
4710,8.61600,123.61550,"Baliangao","osm-id 198525491",,"City (Medium)",12/12/08,09:43:37 AM
5913,7.08333,124.26667,"Dinaig","osm-id 198531669",,"City (Medium)",01/18/08,01:30:09 PM
2717,14.05000,122.80000,"San Vicente","osm-id 198522522",,"City (Medium)",01/18/08,01:40:45 PM
1611,14.60477,121.03019,"San Juan","osm-id 198502895",,"City (Medium)",12/05/08,02:15:32 PM
3283,11.91667,121.55000,"Caluya","osm-id 198528790",,"City (Medium)",01/18/08,01:28:11 PM
5372,10.06667,124.15000,"Buenavista","osm-id 198530775",,"City (Medium)",01/18/08,01:32:00 PM
5331,10.40000,125.13333,"Hinunangan","osm-id 198504955",,"City (Medium)",01/18/08,12:47:47 PM
4155,10.82567,119.51662,"Taytay","osm-id 198499624",,"City (Medium)",07/15/08,12:31:56 AM
3263,12.21667,123.28333,"Mandaon","osm-id 198491366",,"City (Medium)",01/18/08,01:24:56 PM
5363,10.13333,124.18333,"Jetafe","osm-id 198515684",,"City (Medium)",01/18/08,01:36:54 PM
4414,10.91667,122.38333,"Maasin","osm-id 198511950",,"City (Medium)",01/18/08,01:32:22 PM
210,17.56667,121.66667,"Enrile","osm-id 198505218",,"City (Medium)",01/18/08,12:48:09 PM
5617,9.65000,125.48333,"Sison","osm-id 198495988",,"City (Medium)",01/18/08,12:47:12 PM
437,16.60000,121.46667,"Diffun","osm-id 198497039",,"City (Medium)",01/18/08,12:41:07 PM
483,15.36667,120.03333,"Iba","osm-id 198505927",,"City (Medium)",01/18/08,12:48:33 PM
5291,10.40795,123.99106,"Liloan","osm-id 198492735",,"City (Medium)",01/04/09,05:24:35 PM
3222,12.26750,121.99105,"Looc","osm-id 198496713",,"City (Medium)",10/15/08,11:23:38 PM
3999,11.38333,125.38333,"Balangkayan","osm-id 198498867",,"City (Medium)",01/18/08,12:42:32 PM
